DEBUG 2024-09-28 01:52:51,337 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\core\management\sql.py first seen with mtime 1727419941.610659
DEBUG 2024-09-28 01:52:51,337 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1727419938.5393167
DEBUG 2024-09-28 01:52:51,338 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\redis\_parsers\socket.py first seen with mtime 1727420000.3613284
DEBUG 2024-09-28 01:52:51,339 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1727419941.601656
DEBUG 2024-09-28 01:52:51,339 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\xml\dom\minicompat.py first seen with mtime 1686097818.0
DEBUG 2024-09-28 01:52:51,340 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\xml\dom\__init__.py first seen with mtime 1686097818.0
DEBUG 2024-09-28 01:52:51,340 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\rest_framework\utils\humanize_datetime.py first seen with mtime 1727419965.8307123
DEBUG 2024-09-28 01:52:51,341 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\template\response.py first seen with mtime 1727419942.0256584
DEBUG 2024-09-28 01:52:51,342 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\email\utils.py first seen with mtime 1686097818.0
DEBUG 2024-09-28 01:52:51,342 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\redis\_parsers\__init__.py first seen with mtime 1727420000.3563316
DEBUG 2024-09-28 01:52:51,343 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1727419939.7116568
DEBUG 2024-09-28 01:52:51,344 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1727419941.7766552
DEBUG 2024-09-28 01:52:51,344 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\json\encoder.py first seen with mtime 1686097818.0
DEBUG 2024-09-28 01:52:51,345 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1727419941.7646565
DEBUG 2024-09-28 01:52:51,346 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1727419938.544285
DEBUG 2024-09-28 01:52:51,347 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\utils\encoding.py first seen with mtime 1727419942.082657
DEBUG 2024-09-28 01:52:51,348 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\selectors.py first seen with mtime 1686097818.0
